# L=4,N=4,U=100.0000,mu=1.0000,t=1.0000,eta=0.2143,beta=2.0000,M=2000000
# H_0/t              H_1/t                E/t                  N             
-5.417888360170764e-14 -0.0                 -5.417888360170764e-14 4.0                 
-5.5067062021407764e-14 -0.0                 -5.5067062021407764e-14 4.0                 
-5.861977570020827e-14 -0.0                 -5.861977570020827e-14 4.0                 
-5.46229728115577e-14 -0.0                 -5.46229728115577e-14 4.0                 
-5.240252676230739e-14 -0.0                 -5.240252676230739e-14 4.0                 
-5.1958437552457326e-14 -0.0                 -5.1958437552457326e-14 4.0                 
-5.0182080713057076e-14 -0.0                 -5.0182080713057076e-14 4.0                 
-4.884981308350689e-14 -0.0                 -4.884981308350689e-14 4.0                 
-5.1958437552457326e-14 -0.0                 -5.1958437552457326e-14 4.0                 
-6.039613253960852e-14 -0.0                 -6.039613253960852e-14 4.0                 
-6.039613253960852e-14 -0.0                 -6.039613253960852e-14 4.0                 
-5.595524044110789e-14 -0.0                 -5.595524044110789e-14 4.0                 
-5.728750807065808e-14 -0.0                 -5.728750807065808e-14 4.0                 
-5.3290705182007514e-14 -0.0                 -5.3290705182007514e-14 4.0                 
-5.46229728115577e-14 -0.0                 -5.46229728115577e-14 4.0                 
-5.284661597215745e-14 -0.0                 -5.284661597215745e-14 4.0                 
-7.416289804496046e-14 -0.0                 -7.416289804496046e-14 4.0                 
-7.460698725481052e-14 -0.0                 -7.460698725481052e-14 4.0                 
-7.72715225139109e-14 -0.0                 -7.72715225139109e-14 4.0                 
-7.016609515630989e-14 -0.0                 -7.016609515630989e-14 4.0                 
-7.016609515630989e-14 -0.0                 -7.016609515630989e-14 4.0                 
-7.283063041541027e-14 -0.0                 -7.283063041541027e-14 4.0                 
-7.37188088351104e-14 -0.0                 -7.37188088351104e-14 4.0                 
-7.771561172376096e-14 -0.0                 -7.771561172376096e-14 4.0                 
-7.016609515630989e-14 -0.0                 -7.016609515630989e-14 4.0                 
-6.394884621840902e-14 -0.0                 -6.394884621840902e-14 4.0                 
-6.306066779870889e-14 -0.0                 -6.306066779870889e-14 4.0                 
-6.350475700855895e-14 -0.0                 -6.350475700855895e-14 4.0                 
-6.483702463810914e-14 -0.0                 -6.483702463810914e-14 4.0                 
-7.016609515630989e-14 -0.0                 -7.016609515630989e-14 4.0                 
-6.972200594645983e-14 -0.0                 -6.972200594645983e-14 4.0                 
-6.661338147750939e-14 -0.0                 -6.661338147750939e-14 4.0                 
-6.750155989720952e-14 -0.0                 -6.750155989720952e-14 4.0                 
-6.927791673660977e-14 -0.0                 -6.927791673660977e-14 4.0                 
-6.616929226765933e-14 -0.0                 -6.616929226765933e-14 4.0                 
-7.016609515630989e-14 -0.0                 -7.016609515630989e-14 4.0                 
-7.327471962526033e-14 -0.0                 -7.327471962526033e-14 4.0                 
-7.194245199571014e-14 -0.0                 -7.194245199571014e-14 4.0                 
-7.283063041541027e-14 -0.0                 -7.283063041541027e-14 4.0                 
-7.37188088351104e-14 -0.0                 -7.37188088351104e-14 4.0                 
-7.283063041541027e-14 -0.0                 -7.283063041541027e-14 4.0                 
-7.416289804496046e-14 -0.0                 -7.416289804496046e-14 4.0                 
-7.416289804496046e-14 -0.0                 -7.416289804496046e-14 4.0                 
-7.682743330406083e-14 -0.0                 -7.682743330406083e-14 4.0                 
-7.682743330406083e-14 -0.0                 -7.682743330406083e-14 4.0                 
-7.815970093361102e-14 -0.0                 -7.815970093361102e-14 4.0                 
-7.416289804496046e-14 -0.0                 -7.416289804496046e-14 4.0                 
-7.460698725481052e-14 -0.0                 -7.460698725481052e-14 4.0                 
-7.327471962526033e-14 -0.0                 -7.327471962526033e-14 4.0                 
-7.283063041541027e-14 -0.0                 -7.283063041541027e-14 4.0                 
-7.505107646466058e-14 -0.0                 -7.505107646466058e-14 4.0                 
-7.771561172376096e-14 -0.0                 -7.771561172376096e-14 4.0                 
-7.460698725481052e-14 -0.0                 -7.460698725481052e-14 4.0                 
-7.593925488436071e-14 -0.0                 -7.593925488436071e-14 4.0                 
-7.72715225139109e-14 -0.0                 -7.72715225139109e-14 4.0                 
-7.638334409421077e-14 -0.0                 -7.638334409421077e-14 4.0                 
-7.72715225139109e-14 -0.0                 -7.72715225139109e-14 4.0                 
